timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733391241390,816,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-266,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/sembawang-canberracrescent-blk117-deck2b/reserve-car,807,0,22
1733391241572,1151,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-106,text,true,,1981,1090,400,400,http://bff.int-lt:3000/api/v2/station/central-orchardroad-plazasingapura-deck4/reserve-car,1144,0,43
1733391243347,1091,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-14,text,true,,1961,1076,400,400,http://bff.int-lt:3000/api/v2/station/angmokio-angmokiost22-blk226eh/reserve-car,1088,0,17
1733391244041,747,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-10,text,true,,1963,1077,400,400,http://bff.int-lt:3000/api/v2/station/angmokio-angmokioavenue5-blk605/reserve-car,740,0,19
1733391247242,544,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-246,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,520,0,15
1733391249709,738,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-22,text,true,,1961,1076,400,400,http://bff.int-lt:3000/api/v2/station/bedok-bedoknorthstreet2-blk129/reserve-car,730,0,18
1733391251978,759,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-335,text,true,,1947,1082,400,400,http://bff.int-lt:3000/api/v2/station/tampines-tampinesstreet83-blk851/reserve-car,752,0,16
1733391252537,719,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-367,text,true,,1965,1091,400,400,http://bff.int-lt:3000/api/v2/station/woodlands-woodlandsstreet13-blk182-deck3b/reserve-car,709,0,16
1733391253044,903,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-371,text,true,,1953,1085,400,400,http://bff.int-lt:3000/api/v2/station/yishun-yishunavenue11-blk426-deck1a/reserve-car,896,0,167
1733391253262,960,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-270,text,true,,1967,1092,400,400,http://bff.int-lt:3000/api/v2/station/sembawang-sembawangcrescent-blk336a-deck2b/reserve-car,954,0,58
1733391253815,859,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-230,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/pasirris-pasirrisstreet21-blk257a-deck1b/reserve-car,850,0,17
1733391255415,779,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-177,text,true,,1949,1083,400,400,http://bff.int-lt:3000/api/v2/station/jurongeast-westgate-deckb2-lobbyb/reserve-car,771,0,17
1733391257697,703,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-246,text,true,,1959,1088,400,400,http://bff.int-lt:3000/api/v2/station/punggol-punggolfieldwalk-blk128-deck1b/reserve-car,694,0,16
1733391257979,775,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-143,text,true,,1955,1077,400,400,http://bff.int-lt:3000/api/v2/station/geylang-eunoscrescent-blk12/reserve-car,768,0,28
1733391258338,855,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-267,text,true,,1955,1086,400,400,http://bff.int-lt:3000/api/v2/station/sembawang-admiraltydr-blk358a-deck1a/reserve-car,849,0,17
1733391258973,885,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-7,text,true,,1947,1078,400,400,http://bff.int-lt:3000/api/v2/station/angmokio-angmokioavenue10-blk559/reserve-car,877,0,14
1733391261130,884,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-159,text,true,,1941,1079,400,400,http://bff.int-lt:3000/api/v2/station/hougang-hougangavenue8-blk618/reserve-car,876,0,63
1733391262648,709,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-290,text,true,,1961,1089,400,400,http://bff.int-lt:3000/api/v2/station/sengkang-rivervalecrescent-blk160-deck1/reserve-car,703,0,24
1733391265003,839,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-87,text,true,,1973,1082,400,400,http://bff.int-lt:3000/api/v2/station/bukitpanjang-senjaroad-blk636-deck1a/reserve-car,831,0,24
1733391265026,1402,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-380,text,true,,1939,1078,400,400,http://bff.int-lt:3000/api/v2/station/yishun-yishunstreet11-blk132/reserve-car,1396,0,68
